tripduration,starttime,stoptime,start station latitude,start station longitude,end station latitude,end station longitude,bikeid,usertype,birth year,gender
301,24:15.3,29:16.8,40.7192517,-74.034234,40.7272235,-74.0337589,29527,Subscriber,1996,2
468,25:50.2,33:39.1,40.7287448,-74.0321082,40.72165072,-74.04288411,29260,Customer,1995,2
258,27:16.6,31:34.7,40.71458404,-74.04281706,40.71958612,-74.04311746,29275,Subscriber,1985,1
182,27:42.7,30:45.6,40.71958612,-74.04311746,40.72568548,-74.04879034,29492,Subscriber,1977,1
189,29:00.4,32:10.2,40.7308971,-74.06391263,40.72755147,-74.07106072,29227,Subscriber,1994,2
1293,30:49.5,52:22.7,40.71653978,-74.04963791,40.7241765,-74.0506564,26192,Subscriber,1990,1
618,32:41.8,43:00.3,40.7376037,-74.0524783,40.7177325,-74.043845,29473,Subscriber,1994,1
144,34:15.7,36:39.7,40.72333159,-74.04595256,40.72759597,-74.04424731,26298,Subscriber,1985,1
202,38:03.2,41:25.7,40.7241765,-74.0506564,40.71958612,-74.04311746,29620,Subscriber,1984,1
741,38:56.0,51:17.7,40.72568548,-74.04879034,40.71435837,-74.06661093,29492,Subscriber,1985,1
207,48:07.6,51:34.8,40.72533993,-74.06762213,40.7308971,-74.06391263,26195,Subscriber,1966,1
649,48:27.7,59:17.3,40.7241765,-74.0506564,40.7241765,-74.0506564,29545,Customer,1982,1
677,49:44.2,01:01.9,40.72528911,-74.04557168,40.71241882,-74.03852552,29522,Subscriber,1977,2
470,50:30.9,58:21.5,40.71346383,-74.06285852,40.71958612,-74.04311746,29479,Subscriber,1979,1
511,50:32.3,59:03.9,40.71346383,-74.06285852,40.71958612,-74.04311746,29486,Customer,1990,1
359,51:06.2,57:06.0,40.72165072,-74.04288411,40.71458404,-74.04281706,29520,Subscriber,1988,1
277,52:10.7,56:48.4,40.71848892,-74.04772663,40.71458404,-74.04281706,26226,Subscriber,1985,1
296,56:09.2,01:05.2,40.7183552,-74.03891444,40.7242941,-74.0354826,29219,Subscriber,1989,1
319,58:38.3,03:57.7,40.7376037,-74.0524783,40.7308971,-74.06391263,29209,Subscriber,1994,1
287,02:08.0,06:55.8,40.71958612,-74.04311746,40.71848892,-74.04772663,29552,Subscriber,1979,1
497,02:16.2,10:34.0,40.7192517,-74.034234,40.71942,-74.05099,26198,Subscriber,1992,1
496,02:22.5,10:39.1,40.7192517,-74.034234,40.71942,-74.05099,29583,Subscriber,1988,2
275,02:35.9,07:11.3,40.71958612,-74.04311746,40.71848892,-74.04772663,26290,Subscriber,1979,2
812,03:48.6,17:21.0,40.71346383,-74.06285852,40.71958612,-74.04311746,29126,Customer,1995,2
128,05:55.3,08:03.8,40.7211236,-74.03805095,40.7183552,-74.03891444,29624,Subscriber,1964,2
398,09:47.8,16:26.0,40.7112423,-74.0557013,40.71848892,-74.04772663,29572,Subscriber,1964,2
367,14:23.3,20:31.1,40.7308971,-74.06391263,40.7376037,-74.0524783,29209,Subscriber,1994,1
229,18:04.4,21:54.0,40.71958612,-74.04311746,40.71848892,-74.04772663,29515,Subscriber,1964,2
153,18:32.3,21:05.6,40.71517768,-74.03768331,40.7183552,-74.03891444,26185,Subscriber,1985,1
95,20:52.2,22:27.8,40.71241882,-74.03852552,40.7127742,-74.0364857,29522,Subscriber,1978,2
355,24:23.8,30:19.4,40.72759597,-74.04424731,40.7272235,-74.0337589,29659,Subscriber,1964,1
318,27:03.0,32:21.1,40.72755147,-74.07106072,40.7308971,-74.06391263,29125,Subscriber,1990,2
375,28:08.4,34:23.8,40.72165072,-74.04288411,40.72759597,-74.04424731,29609,Subscriber,1988,1
160,28:26.4,31:07.3,40.72759597,-74.04424731,40.72152515,-74.04630454,29280,Subscriber,1980,2
237,31:10.0,35:07.0,40.71958612,-74.04311746,40.71458404,-74.04281706,29275,Subscriber,1983,2
236,31:22.3,35:18.9,40.71958612,-74.04311746,40.71458404,-74.04281706,26271,Subscriber,1984,2
166,36:03.0,38:49.1,40.72163014,-74.04996783,40.71958612,-74.04311746,29447,Subscriber,1975,1
403,38:31.5,45:14.9,40.73367,-74.0625,40.7241765,-74.0506564,29286,Subscriber,1974,1
203,38:52.1,42:15.7,40.7211236,-74.03805095,40.71958612,-74.04311746,26296,Subscriber,1983,1
126,38:55.5,41:01.6,40.7127742,-74.0364857,40.71241882,-74.03852552,26244,Subscriber,1978,2
481,39:50.3,47:51.4,40.71458404,-74.04281706,40.72528911,-74.04557168,29275,Subscriber,1977,2
193,44:30.3,47:43.9,40.71958612,-74.04311746,40.72163014,-74.04996783,29447,Subscriber,1981,1
199,45:59.5,49:18.8,40.7127742,-74.0364857,40.71687,-74.03281,29206,Subscriber,1992,1
389,46:59.5,53:28.6,40.71649,-74.04105,40.72759597,-74.04424731,29616,Subscriber,1979,1
